Country Name;Indicator Name;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Late-demographic dividend;GDP per capita (current US$);349457006355272;437590861158708;540665872634632;519248521247905;619086315614125;750187584643037;797683251468336;854730020913492;879970674234937;81953482145165;814466666701628
Lithuania;GDP per capita (current US$);924064254797441;122979153480396;149615681759187;118373910271086;119539384416891;143386435140155;143339493428112;157051639858867;165344819837926;142491149666026;149994796391329
Luxembourg;GDP per capita (current US$);897397116961301;106018492790674;11429384332087;103198669312625;104965306078267;115761507705096;106749013622989;11362513289956;118823648368575;101376496574339;104278390971905
Latvia;GDP per capita (current US$);966337345136659;140424624200212;163769983633933;122572165683051;113446933695837;137138553053545;138477851073453;150431175639591;157403267490719;136989379476476;141534149226916
Macao SAR;MAC;250430189453563;299507731064328;363529184556869;405975574823323;407969618339517;522531553117325;666443853449773;762918474900231;892874540184115;937771067959425;753409869811152
St. Martin (French part);GDP per capita (current US$);;;;;;;;;;;
Morocco;GDP per capita (current US$);219601218967016;249925993757187;289036008322739;286692419864666;283992516805933;304694913644957;291265827494029;312168117550498;317169919227376;287525798516781;289766343955565
Monaco;GDP per capita (current US$);134044701161335;169961383945783;185721794154104;154762199426852;150585448911112;168785940809485;157515899069445;177593351895053;189170895671097;165937865343145;169915804840176
Moldova;GDP per capita (current US$);950640408746043;123044456420222;169598507510881;152552611882763;195813371987623;236359372511782;24467253157714;266868300938775;267411633164002;217923362495857;227240570707297
Madagascar;GDP per capita (current US$);292150728813718;438655290070345;536351482125303;467539737921872;471959211584451;531265505398676;518152812673554;54106608508644;530861263904165;467235277373582;475955365636474
Maldives;GDP per capita (current US$);480996311494807;557445187632955;661415914742089;663641241602952;707666242320238;729142764039704;726561365556669;792845736514824;849936576172668;90333904129872;920928862477108
Middle East & North Africa;GDP per capita (current US$);505614732508753;586886782976655;716108393984656;626799762840811;717409770108722;833228243142334;889567505634492;86684045942463;854052164084166;738786934749957;727424572006387
Mexico;GDP per capita (current US$);906829438701235;964268060504911;100165713043884;800297210649807;927139823324639;102034208543113;102417279153745;107251833166036;109223760488647;960595235103139;873975604280929
Marshall Islands;GDP per capita (current US$);260860544766618;2745438975219;272609748282123;269817955555556;2876994996984;308383187985353;322433838179029;329669816291405;323002326028787;321383728825363;347377500649519
